ts,time,TAC,blocked,cutoff,volte,msg,tot,tot_c
1018055,10/18/2018 5:50,28688,0,10,2423,194,37120,0.999730603
1018055,10/18/2018 5:50,29449,7,15,248,25,9976,0.997794707
1018055,10/18/2018 5:50,29465,6,0,202,0,4571,0.998687377
1018060,10/18/2018 6:00,27214,0,24,372,48,9180,0.997385621
1018060,10/18/2018 6:00,28672,0,0,6,0,504,1
1018060,10/18/2018 6:00,28681,0,0,1385,120,26865,1
1018060,10/18/2018 6:00,28682,8,0,4051,239,51845,0.999845694
1018060,10/18/2018 6:00,28683,13,0,3327,18,26225,0.99950429
1018060,10/18/2018 6:00,28684,17,0,1503,87,47911,0.999645175
1018060,10/18/2018 6:00,28685,32,39,2157,76,54732,0.99870277
1018060,10/18/2018 6:00,28688,0,8,2115,97,39405,0.99979698
1018060,10/18/2018 6:00,29449,0,0,215,0,9010,1
1018060,10/18/2018 6:00,29465,0,0,174,0,4831,1
1018061,10/18/2018 6:10,27214,0,0,408,54,8853,1
1018061,10/18/2018 6:10,28672,0,0,0,0,558,1
1018061,10/18/2018 6:10,28681,14,11,998,112,26074,0.99904119
1018061,10/18/2018 6:10,28682,14,23,2966,89,51606,0.999283029
1018061,10/18/2018 6:10,28683,0,10,2741,88,24465,0.999591253
1018061,10/18/2018 6:10,28684,0,10,1200,20,48053,0.999791896
1018061,10/18/2018 6:10,28685,0,0,1828,233,50970,1
1018061,10/18/2018 6:10,28688,11,12,1841,189,40283,0.99942904
1018061,10/18/2018 6:10,29449,24,33,231,124,8659,0.993417254
1018061,10/18/2018 6:10,29465,7,0,214,17,5504,0.998728198
1018062,10/18/2018 6:20,27214,0,0,273,24,8220,1
1018062,10/18/2018 6:20,28672,0,0,0,0,426,1
1018062,10/18/2018 6:20,28681,0,0,744,78,25562,1
1018062,10/18/2018 6:20,28682,12,0,3175,162,52226,0.999770229
1018062,10/18/2018 6:20,28683,0,66,2529,176,25235,0.997384585
1018062,10/18/2018 6:20,28684,0,35,893,62,48143,0.999272999
1018062,10/18/2018 6:20,28685,8,0,1659,52,51989,0.999846121
1018062,10/18/2018 6:20,28688,0,0,1721,100,38467,1
1018062,10/18/2018 6:20,29449,0,0,242,77,9475,1
1018062,10/18/2018 6:20,29465,0,0,292,0,4622,1
1018063,10/18/2018 6:30,27214,0,0,321,21,9600,1
